"site";"vegspecies";"buggroup";"family";"species";"size";"functional.group"
"Fitzroy-Treasury Gardens";"Acanthus mollis";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Argyle Square";"Lavandula sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Argyle Square";"Lavandula sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Argyle Square";"Mentha pulegium";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Argyle Square";"Rosmarinus officinalis";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Argyle Square";"Rosmarinus officinalis";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Women's Peace Gardens";"Rosmarinus officinalis";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Argyle Square";"Salvia leucantha";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Salvia leucantha";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Salvia leucantha";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Stachys byzantina";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Stachys byzantina";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Acacia acinacea";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Acacia acinacea";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Acacia acinacea";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Acacia cognata";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
