"siteA";"siteB";"neardist";"metric";"value";"interaction"
"Murchinson Square";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"Murchinson Square";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Pleasance Gardens";"Princes Park";1340,55;"species_turnover";0,81651376146789;"herbivory"
"Pleasance Gardens";"Princes Park";1340,55;"interaction_turnover";1;"herbivory"
"Pleasance Gardens";"Royal Park";351,17;"species_turnover";0,882926829268293;"herbivory"
"Pleasance Gardens";"Royal Park";351,17;"interaction_turnover";1;"herbivory"
"Pleasance Gardens";"State Library of Victoria";2133,64;"species_turnover";0,619047619047619;"herbivory"
"Pleasance Gardens";"State Library of Victoria";2133,64;"interaction_turnover";1;"herbivory"
"Pleasance Gardens";"University Square";1250,03;"species_turnover";0,67741935483871;"herbivory"
"Pleasance Gardens";"University Square";1250,03;"interaction_turnover";1;"herbivory"
"Pleasance Gardens";"Westgate Park";4688,67;"species_turnover";0,897435897435897;"herbivory"
"Pleasance Gardens";"Westgate Park";4688,67;"interaction_turnover";1;"herbivory"
"Pleasance Gardens";"Women's Peace Gardens";1868,06;"species_turnover";0,625;"herbivory"
"Pleasance Gardens";"Women's Peace Gardens";1868,06;"interaction_turnover";0,859154929577465;"herbivory"
"Pleasance Gardens";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"Pleasance Gardens";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Princes Park";"Royal Park";85,25;"species_turnover";0,702127659574468;"herbivory"
"Princes Park";"Royal Park";85,25;"interaction_turnover";0,937007874015748;"herbivory"
"Princes Park";"State Library of Victoria";2011,67;"species_turnover";0,815126050420168;"herbivory"
"Princes Park";"State Library of Victoria";2011,67;"interaction_turnover";1;"herbivory"
"Princes Park";"University Square";949,69;"species_turnover";0,851851851851852;"herbivory"
"Princes Park";"University Square";949,69;"interaction_turnover";0,975308641975309;"herbivory"
"Princes Park";"Westgate Park";6036,59;"species_turnover";0,701030927835051;"herbivory"
"Princes Park";"Westgate Park";6036,59;"interaction_turnover";0,950354609929078;"herbivory"
"Princes Park";"Women's Peace Gardens";3046,9;"species_turnover";0,792;"herbivory"
"Princes Park";"Women's Peace Gardens";3046,9;"interaction_turnover";1;"herbivory"
"Princes Park";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"Princes Park";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Royal Park";"State Library of Victoria";1888,05;"species_turnover";0,869767441860465;"herbivory"
"Royal Park";"State Library of Victoria";1888,05;"interaction_turnover";1;"herbivory"
"Royal Park";"University Square";827,8;"species_turnover";0,911764705882353;"herbivory"
"Royal Park";"University Square";827,8;"interaction_turnover";1;"herbivory"
"Royal Park";"Westgate Park";5101,19;"species_turnover";0,620689655172414;"herbivory"
"Royal Park";"Westgate Park";5101,19;"interaction_turnover";0,86;"herbivory"
"Royal Park";"Women's Peace Gardens";1588,84;"species_turnover";0,864253393665158;"herbivory"
"Royal Park";"Women's Peace Gardens";1588,84;"interaction_turnover";0,980722891566265;"herbivory"
"Royal Park";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"Royal Park";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"State Library of Victoria";"University Square";905,64;"species_turnover";0,609756097560976;"herbivory"
"State Library of Victoria";"University Square";905,64;"interaction_turnover";1;"herbivory"
"State Library of Victoria";"Westgate Park";5095,72;"species_turnover";0,84251968503937;"herbivory"
"State Library of Victoria";"Westgate Park";5095,72;"interaction_turnover";0,988372093023256;"herbivory"
"State Library of Victoria";"Women's Peace Gardens";4035,87;"species_turnover";0,724137931034483;"herbivory"
"State Library of Victoria";"Women's Peace Gardens";4035,87;"interaction_turnover";0,954022988505747;"herbivory"
"State Library of Victoria";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"State Library of Victoria";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"University Square";"Westgate Park";5217,14;"species_turnover";0,896551724137931;"herbivory"
"University Square";"Westgate Park";5217,14;"interaction_turnover";1;"herbivory"
"University Square";"Women's Peace Gardens";3258,77;"species_turnover";0,829787234042553;"herbivory"
"University Square";"Women's Peace Gardens";3258,77;"interaction_turnover";1;"herbivory"
"University Square";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"University Square";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Westgate Park";"Women's Peace Gardens";4314,91;"species_turnover";0,819548872180451;"herbivory"
"Westgate Park";"Women's Peace Gardens";4314,91;"interaction_turnover";1;"herbivory"
"Westgate Park";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
