"site";"interaction_type";"metric";"value"
"Princes Park";"Pollinator";"interaction_overlap";NA
"Princes Park";"Herbivore";"richness";93
"Princes Park";"Herbivore";"connectance";0,103129445234708
"Princes Park";"Herbivore";"link_density";3,11827956989247
"Princes Park";"Herbivore";"degree_heterogeneity";3,97679869279662
"Princes Park";"Herbivore";"modularity_eigen";0,495814506539834
"Princes Park";"Herbivore";"modularity_betweenness";0,137788347205707
"Princes Park";"Herbivore";"nestedness";13,3163404994881
"Princes Park";"Herbivore";"centrality_degree";0,114721172022684
"Princes Park";"Herbivore";"centrality_betweenness";0,475614551085009
"Princes Park";"Herbivore";"centrality_eigen";0,832372070049548
"Princes Park";"Herbivore";"interaction_overlap";0,288354086572779
"Royal Park";"Pollinator";"richness";20
"Royal Park";"Pollinator";"connectance";0,141414141414141
"Royal Park";"Pollinator";"link_density";1,4
"Royal Park";"Pollinator";"degree_heterogeneity";2,89874553958634
"Royal Park";"Pollinator";"modularity_eigen";0,732142857142857
"Royal Park";"Pollinator";"modularity_betweenness";0,714285714285714
"Royal Park";"Pollinator";"nestedness";6,04395604395604
"Royal Park";"Pollinator";"centrality_degree";0,0443213296398892
"Royal Park";"Pollinator";"centrality_betweenness";0,0569405971068021
"Royal Park";"Pollinator";"centrality_eigen";0,874044412032708
"Royal Park";"Pollinator";"interaction_overlap";0,162139917695473
"Royal Park";"Herbivore";"richness";189
"Royal Park";"Herbivore";"connectance";0,0659041394335512
"Royal Park";"Herbivore";"link_density";3,84126984126984
"Royal Park";"Herbivore";"degree_heterogeneity";4,60478140836747
"Royal Park";"Herbivore";"modularity_eigen";0,458742192776753
"Royal Park";"Herbivore";"modularity_betweenness";0,0996592521761567
"Royal Park";"Herbivore";"nestedness";11,4304106346158
"Royal Park";"Herbivore";"centrality_degree";0,0779623132639203
"Royal Park";"Herbivore";"centrality_betweenness";0,344833819742211
"Royal Park";"Herbivore";"centrality_eigen";0,872477263371064
"Royal Park";"Herbivore";"interaction_overlap";0,208714763470989
"State Library of Victoria";"Pollinator";"richness";NA
"State Library of Victoria";"Pollinator";"connectance";NA
"State Library of Victoria";"Pollinator";"link_density";NA
"State Library of Victoria";"Pollinator";"degree_heterogeneity";NA
"State Library of Victoria";"Pollinator";"modularity_eigen";NA
"State Library of Victoria";"Pollinator";"modularity_betweenness";NA
"State Library of Victoria";"Pollinator";"nestedness";NA
"State Library of Victoria";"Pollinator";"centrality_degree";NA
"State Library of Victoria";"Pollinator";"centrality_betweenness";NA
"State Library of Victoria";"Pollinator";"centrality_eigen";NA
"State Library of Victoria";"Pollinator";"interaction_overlap";NA
"State Library of Victoria";"Herbivore";"richness";26
"State Library of Victoria";"Herbivore";"connectance";0,228758169934641
"State Library of Victoria";"Herbivore";"link_density";2,69230769230769
"State Library of Victoria";"Herbivore";"degree_heterogeneity";2,98738082150116
"State Library of Victoria";"Herbivore";"modularity_eigen";0,400408163265306
"State Library of Victoria";"Herbivore";"modularity_betweenness";0,176326530612245
"State Library of Victoria";"Herbivore";"nestedness";23,5658914728682
"State Library of Victoria";"Herbivore";"centrality_degree";0,152
"State Library of Victoria";"Herbivore";"centrality_betweenness";0,478593737373737
"State Library of Victoria";"Herbivore";"centrality_eigen";0,688623035879639
"State Library of Victoria";"Herbivore";"interaction_overlap";0,447281388022129
"University Square";"Pollinator";"richness";NA
"University Square";"Pollinator";"connectance";NA
"University Square";"Pollinator";"link_density";NA
"University Square";"Pollinator";"degree_heterogeneity";NA
"University Square";"Pollinator";"modularity_eigen";NA
"University Square";"Pollinator";"modularity_betweenness";NA
"University Square";"Pollinator";"nestedness";NA
"University Square";"Pollinator";"centrality_degree";NA
"University Square";"Pollinator";"centrality_betweenness";NA
"University Square";"Pollinator";"centrality_eigen";NA
"University Square";"Pollinator";"interaction_overlap";NA
"University Square";"Herbivore";"richness";15
"University Square";"Herbivore";"connectance";0,472222222222222
"University Square";"Herbivore";"link_density";2,26666666666667
